// Формат таблицы:
//
//    subject; subj nominative; subj genitive
//
// subject — переменная «subject» из Core\..\SkillDef\Skills.xml, используется в генерации названия и описания учебника.
// subj — краткая форма или синоним subject, используется в генерации названия учебника.

// Animals
физиологии животных; животные; животных
интеллектуального роста; логика; логики
педагогики; обучение; обучения
количественного анализа; изотопы; изотопов
планирования экспериментов; опыты; опытов
научных исследований; наблюдение; наблюдения
индуктивных умозаключений; индукция; индукции
дедуктивных умозаключений; дедукция; дедукции

// Medicine
медицины; медицина; медицины
хирургии; хирургия; хирургии
бактериологии; бактерии; бактерий
ускорения заживления ран; заживление ран; заживления ран
здравоохранения; здравоохранение; здравоохранения
медицинской науки; исцеление; исцеления
физиологии; физиология; физиологии
фармакологии; фармакология; фармакологии
врачевания; врачевание; врачевания
диагностики; диагностика; диагностики
анатомии; анатомия; анатомии
микробиологии; микробиология; микробиологии
патологии; патология; патологии
профилактики заболеваний; профилактика; профилактики
интенсивной терапии; терапия; терапии
неотложной медицины; травмы; травм
присмотра за больными; милосердие; милосердия
клинических исследований; медикаменты; медикаментов
социальной гигиены; гигиена; гигиены
вирусологии; вирусы; вирусов
анестезиологии; наркоз; наркоза

// Melee
ближнего боя; битвы; битв
боевых единоборств; борьба; борьбы
ножевого боя; ножи; ножей
боевых искусств; боевые искусства; боевых искусств
фехтования на мечах; плазменный меч; плазменного меча
обращения с холодным оружием; холодное оружие; холодного оружия
рукопашного боя; потасовки; потасовок
кулачного боя; бокс; бокса
искусства фехтования; фехтование; фехтования
проведения рыцарских турниров; рыцарство; рыцарства
проведения поединков; поединки; поединков

// Mining
горного дела; недра; недр
проходки горных выработок; горы; гор
золотодобычи; золото; золота
добычи полезных ископаемых; полезные ископаемые; полезных ископаемых
сейсмологии; сейсмология; сейсмологии
геологоразведки; геологоразведка; геологоразведки
горной промышленности; добыча руды; добычи руды
проходки туннелей; туннели; туннелей
бурения; бурение; бурения
минералогии; минералы; минералов
геммологии; самоцветы; самоцветов
геологии; геология; геологии
геомеханики; геомеханика; геомеханики

// Plants
физиологии растений; растения; растений
выращивания лекарственных трав; ксеригиум; ксеригиума
овощеводства; овощи; овощей
освоения флоры; флора; флоры
культивации; культивация; культивации
огородничества; огород; огорода
цветоводства; цветы; цветов
садоводства; садоводство; садоводства
сельского хозяйства; сельское хозяйство; сельского хозяйства
селекции растений; селекция растений; селекции растений
пермакультуры; пермакультура; пермакультуры
ботаники; ботаника; ботаники
растениеводства; растениеводство; растениеводства
обогащения почвы; плодородие; плодородия
органического земледелия; земледелие; земледелия
производства зерновых культур; зерно; зерна
агрономии; агрономия; агрономии

// Shooting
обращения с огнестрельным оружием; пулемёты; пулемётов
обращения со стрелковым оружием; луки; луков
точного прицеливания; прицелы; прицелов
стрельбы; стрельба; стрельбы
практической стрельбы; стрельбище; стрельбища
меткой стрельбы; меткость; меткости
обращения с оружием дальнего боя; револьверы; револьверов
снайперского искусства; снайперство; снайперства
баллистики; баллистика; баллистики
боя на дальних дистанциях; миномёты; миномётов
точной стрельбы; точная стрельба; точной стрельбы
стрелкового мастерства; винтовки; винтовок
стрельбы по мишеням; пистолеты; пистолетов
прицельной стрельбы; прицельная стрельба; прицельной стрельбы
ведения дальнего боя; дальний бой; дальнего боя
ведения огня на подавление; огонь на подавление; огня на подавление
ведения огня на поражение; огонь на поражение; огня на поражение
стрельбы с дальней дистанции; снайперские винтовки; снайперских винтовок

// Social
общения; общение; общения
налаживания связей; связи; связей
разрешения конфликтов; конфликты; конфликтов
сотрудничества; кооперация; кооперации
проявления лидерства; лидерство; лидерства
проявления эмпатии; эмпатия; эмпатии
ведения переговоров; переговоры; переговоров
ведения торговли; торговля; торговли
психологии; психология; психологии
дипломатии; дипломатия; дипломатии
совместной работы; сотрудничество; сотрудничества
этикета; этикет; этикета
проявления харизмы; харизма; харизмы
социального интеллекта; общительность; общительности
проявления настойчивости; настойчивость; настойчивости
эмоционального интеллекта; эмоции; эмоций
проявления отзывчивости; отзывчивость; отзывчивости
